id,title,summary,source_url,published_date,last_updated,regulator,domain,document_type,charity_number,charity_name,charity_income_band,risk_level,case_id,case_status,outcome,issues_identified,sanctions_regime,designated_by,fine_amount,keywords,cc_registered_number,cc_suffix,cc_status,cc_latest_income,cc_governing_document,cc_primary_region
CC_case_1100416_20251020,Charity Inquiry: Mountain of Fire and Miracles Ministries International,Charity Commission inquiry into Mountain of Fire and Miracles Ministries International.,https://www.gov.uk/government/publications/charity-inquiry-mountain-of-fire-and-miracles-ministries-international,2025-10-20,2025-10-20,CC,governance,case,1100416,Mountain of Fire and Miracles Ministries International,,,,concluded,,governance,,,,fire|governance|mountain|international|miracles|ministries,1100416,0,,2375285.0,,Throughout England And Wales
CC_case_1142005_20250828,Charity Inquiry: OBAC - (Organisation of Blind Africans and Caribbeans),Charity Commission Inquiry into OBAC - (Organisation of Blind Africans and Caribbeans) - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-obac-organisation-of-blind-africans-and-caribbeans,2025-08-28,2025-08-28,CC,governance,case,1142005,OBAC - (Organisation of Blind Africans and Caribbeans),,,,concluded,charity removed,governance,,,,caribbeans)|blind|africans|obac|charity removed|governance|(organisation,1142005,0,,94992.0,,Throughout London
CC_case_1117893_20250826,Charity Inquiry: Four Paws Animal Rescue (South Wales),Charity Commission Inquiry into Four Paws Animal Rescue (South Wales) - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-four-paws-animal-rescue-south-wales,2025-08-26,2025-08-26,CC,governance,case,1117893,Four Paws Animal Rescue (South Wales),,,,concluded,charity removed,governance,,,,four|(south|charity removed|paws|governance|rescue|wales)|animal,1117893,0,,113984.0,,Throughout England And Wales
CC_case_1127466_20250703,Charity Inquiry: Island Health Trust,Charity Commission inquiry Island Health Trust.,https://www.gov.uk/government/publications/charity-inquiry-island-health-trust,2025-07-03,2025-07-03,CC,governance,case,1127466,Island Health Trust,,,,concluded,,governance,,,,island|governance|health|trust,1127466,0,,361894.0,,Newham
CC_case_None_20250423,"Charity inquiry: Education for Gondar, and formerly registered charities Education in Sidama, Education for Nyanza and Education in Western Province","Charity Commission inquiry into Education for Gondar, and formerly registered charities Education in Sidama, Education for Nyanza and Education in Western Province",https://www.gov.uk/government/publications/charity-inquiry-education-for-gondar-and-formerly-registered-charities-education-in-sidama-education-for-nyanza-and-education-in-western-province,2025-04-23,2025-04-23,CC,governance,case,,"Education for Gondar, and formerly registered charities Education in Sidama, Education for Nyanza and Education in Western Province",,,,concluded,,governance,,,,"gondar,|sidama,|western|education|charities|registered|formerly|governance|province|nyanza",,,,,,
CC_case_1136163_20250228,Charity Inquiry: The Sikh Channel Community Broadcasting Company Limited,Charity Commission inquiry into the Sikh Channel Community Broadcasting Company Limited,https://www.gov.uk/government/publications/charity-inquiry-the-sikh-channel-community-broadcasting-company-limited,2025-02-28,2025-02-28,CC,governance,case,1136163,The Sikh Channel Community Broadcasting Company Limited,,,,concluded,,governance,,,,company|channel|sikh|limited|community|governance|broadcasting,1136163,0,,72.0,,Birmingham City
CC_case_1122974_20250122,Charity Inquiry: Brighton Mosque & Muslim Community Centre,Charity Commission Inquiry into Brighton Mosque & Muslim Community Centre,https://www.gov.uk/government/publications/charity-inquiry-brighton-mosque-muslim-community-centre,2025-01-22,2025-01-22,CC,governance,case,1122974,Brighton Mosque & Muslim Community Centre,,,,concluded,,governance,,,,muslim|brighton|community|centre|governance|mosque,1122974,0,,73903.0,,East Sussex
CC_case_1159575_20241219,Charity Inquiry: Quba Trust,Charity Commission inquiry into Quba Trust,https://www.gov.uk/government/publications/charity-inquiry-quba-trust,2024-12-19,2024-12-19,CC,governance,case,1159575,Quba Trust,,,,concluded,,governance,,,,governance|quba|trust,1159575,0,,0.0,,Throughout England And Wales
CC_case_1164018_20241205,Charity Inquiry: Muffin Pug Rescue,Charity Commission Inquiry into Muffin Pug Rescue.,https://www.gov.uk/government/publications/charity-inquiry-muffin-pug-rescue,2024-12-05,2024-12-05,CC,governance,case,1164018,Muffin Pug Rescue,,,,concluded,,governance,,,,muffin|rescue|governance,1164018,0,,164299.0,,Ireland
CC_case_1189808_20241121,Charity Inquiry: The Captain Tom Foundation,Charity Commission Inquiry into The Captain Tom Foundation.,https://www.gov.uk/government/publications/charity-inquiry-the-captain-tom-foundation,2024-11-21,2024-11-21,CC,governance,case,1189808,The Captain Tom Foundation,,,,concluded,,governance,,,,foundation|governance|captain,1189808,0,,3656.0,,Northern Ireland
CC_case_1143110_20241115,Charity Inquiry: The Knightland Foundation,Charity Commission Inquiry into  The Knightland Foundation.,https://www.gov.uk/government/publications/charity-inquiry-the-knightland-foundation,2024-11-15,2024-11-15,CC,governance,case,1143110,The Knightland Foundation,,,,concluded,,governance,,,,foundation|knightland|governance,1143110,0,,688018.0,,Throughout London
CC_case_1160575_unknown,Charity Inquiry: Mermaids,Charity Commission Inquiry into Mermaids.,https://www.gov.uk/government/publications/charity-inquiry-mermaids,2024-10-24,2024-10-24,CC,governance,case,1160575,Mermaids,,,,concluded,,governance,,,,governance|mermaids,1160575,0,,1337663.0,,Northern Ireland
CC_case_1058334_unknown,Charity Inquiry: Keren Shmuel,Charity Commission Inquiry into Keren Shmuel.,https://www.gov.uk/government/publications/charity-inquiry-keren-shmuel,2024-10-18,2024-10-18,CC,governance,case,1058334,Keren Shmuel,,,,concluded,,governance,,,,governance|shmuel|keren,1058334,0,,531241.0,,Belgium
CC_case_517381_unknown,Charity Inquiry: Dar Ul Uloom Islamia Rizwia (Bralawai),Charity Commission Inquiry into Dar Ul Uloom Islamia Rizwia (Bralawai),https://www.gov.uk/government/publications/charity-inquiry-dar-ul-uloom-islamia-rizwia-bralawai,2024-10-17,2024-10-17,CC,governance,case,517381,Dar Ul Uloom Islamia Rizwia (Bralawai),,,,concluded,,governance,,,,governance|uloom|rizwia|(bralawai)|islamia,517381,0,,521326.0,,Birmingham City
CC_case_1159995_unknown,Charity Inquiry: Fashion for Relief,Charity Commission inquiry into Fashion for Relief - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-fashion-for-relief,2024-09-26,2024-09-26,CC,governance,case,1159995,Fashion for Relief,,,,concluded,charity removed,governance,,,,governance|charity removed|fashion|relief,1159995,0,,443566.0,,Afghanistan
CC_case_1155658_unknown,Charity Inquiry: Burke's Peerage Foundation,Charity Commission Inquiry into Burke's Peerage Foundation - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-burkes-peerage-foundation,2024-09-05,2024-09-05,CC,governance,case,1155658,Burke's Peerage Foundation,,,,concluded,charity removed,governance,,,,peerage|governance|foundation|charity removed|burke's,1155658,0,,10000.0,,Throughout England And Wales
CC_case_1149924_unknown,Charity Inquiry: The Mahfouz Foundation,Charity Commission Inquiry into The Mahfouz Foundation - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-the-mahfouz-foundation,2024-09-05,2024-09-05,CC,governance,case,1149924,The Mahfouz Foundation,,,,concluded,charity removed,governance,,,,governance|charity removed|foundation|mahfouz,1149924,0,,10000.0,,Throughout England And Wales
CC_case_1152988_unknown,Charity Inquiry: Salvation Proclaimers Ministries Limited,Charity Commission inquiry into Salvation Proclaimers Ministries Limited - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-salvation-proclaimers-ministries-limited,2024-08-22,2024-08-22,CC,governance,case,1152988,Salvation Proclaimers Ministries Limited,,,,concluded,charity removed,governance,,,,proclaimers|governance|charity removed|limited|ministries|salvation,1152988,0,,54455.0,,Ghana
CC_case_1180264_unknown,Charity Inquiry: Devon Freewheelers,Charity Commission Inquiry into Devon Freewheelers.,https://www.gov.uk/government/publications/charity-inquiry-devon-freewheelers,2024-07-19,2024-07-19,CC,governance,case,1180264,Devon Freewheelers,,,,concluded,,governance,,,,freewheelers|governance|devon,1180264,0,,140495.0,,Throughout England And Wales
CC_case_1026493_unknown,Charity Inquiry: Ampleforth Abbey and St Laurence Educational Trust,Charity Commission inquiry into Ampleforth Abbey and St Laurence Educational Trust.,https://www.gov.uk/government/publications/charity-inquiry-ampleforth-abbey-and-st-laurence-educational-trust,2024-07-12,2024-07-12,CC,governance,case,1026493,Ampleforth Abbey and St Laurence Educational Trust,,,,concluded,,governance,,,,laurence|governance|ampleforth|trust|abbey|educational,1026493,0,,27759000.0,,Zimbabwe
CC_case_1111470_unknown,Charity Inquiry: Citygate Christian Outreach Centre,Charity Commission inquiry into Citygate Christian Outreach Centre.,https://www.gov.uk/government/publications/charity-inquiry-citygate-christian-outreach-centre,2024-07-08,2024-07-08,CC,governance,case,1111470,Citygate Christian Outreach Centre,,,,concluded,,governance,,,,outreach|governance|citygate|centre|christian,1111470,0,,2039630.0,,Throughout London
CC_case_None_20240607,Charity Inquiry: double defaulter charities between April 2023 and March 2024,Results of pre-inquiry and class inquiry work into charities that failed to submit financial information to us for 2 or more years (in the last 5 years).,https://www.gov.uk/government/publications/charity-inquiry-double-defaulter-charities-between-april-2023-and-march-2024,2024-06-07,2024-06-07,CC,governance,case,,double defaulter charities between April 2023 and March 2024,,,,concluded,charity removed,governance,,,,march|defaulter|between|charity removed|2024|charities|2023|double|april|governance,,,,,,
CC_case_1149828_unknown,Charity inquiry: Effective Ventures Foundation UK,Charity Commission inquiry into Effective Ventures Foundation UK.,https://www.gov.uk/government/publications/charity-inquiry-effective-ventures-foundation-uk,2024-05-22,2024-05-22,CC,governance,case,1149828,Effective Ventures Foundation UK,,,,concluded,,governance,,,,governance|effective|foundation|ventures,1149828,0,,31663819.0,,Oxfordshire
CC_case_1014419_unknown,Charity Inquiry: Kogan Academy of Dramatic Arts,Charity Commission inquiry into Kogan Academy of Dramatic Arts - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-kogan-academy-of-dramatic-arts,2024-05-14,2024-05-14,CC,governance,case,1014419,Kogan Academy of Dramatic Arts,,,,concluded,charity removed,governance,,,,dramatic|academy|governance|arts|charity removed|kogan,1014419,0,,190857.0,,Islington
CC_case_1014813_unknown,Charity Inquiry: Children Care Centre,Charity Commission Inquiry into Children Care Centre.,https://www.gov.uk/government/publications/charity-inquiry-children-care-centre,2024-04-25,2024-04-25,CC,governance,case,1014813,Children Care Centre,,,,concluded,,governance,,,,governance|centre|care|children,1014813,0,,246319.0,,India
CC_case_1150827_20240424,Charity Inquiry: Islamic Education Centre and Mosque,Charity Commission inquiry into Islamic Education Centre and Mosque,https://www.gov.uk/government/publications/charity-inquiry-islamic-education-centre-and-mosque,2024-04-24,2024-04-24,CC,governance,case,1150827,Islamic Education Centre and Mosque,,,,concluded,,governance,,,,islamic|education|centre|governance|mosque,1150827,0,,68492.0,,Sunderland
CC_case_1079117_20240416,Charity Inquiry: Jamia Hanfia Ghosia Mosque and Princess Street Resource Centre,Charity Commission Inquiry into Jamia Hanfia Ghosia Mosque and Princess Street Resource Centre,https://www.gov.uk/government/publications/charity-inquiry-jamia-hanfia-ghosia-mosque-and-princess-street-resource-centre,2024-04-16,2024-04-16,CC,governance,case,1079117,Jamia Hanfia Ghosia Mosque and Princess Street Resource Centre,,,,concluded,,governance,,,,resource|street|princess|hanfia|centre|ghosia|jamia|governance|mosque,1079117,0,,175083.0,,Staffordshire
CC_case_None_20240409,Charity inquiry: Charr Yarr Welfare Foundation Limited,Charity Commission inquiry into Charr Yarr Welfare Foundation Limited,https://www.gov.uk/government/publications/charity-inquiry-charr-yarr-welfare-foundation-limited,2024-04-09,2024-04-09,CC,governance,case,,Charr Yarr Welfare Foundation Limited,,,,concluded,,governance,,,,foundation|charr|yarr|limited|welfare|governance,,,,,,
CC_case_1142202_20240306,Charity inquiry: JAFLAS,Charity Commission Inquiry into JAFLAS - formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-jaflas,2024-03-06,2024-03-06,CC,governance,case,1142202,JAFLAS,,,,concluded,charity removed,governance,,,,jaflas|governance|charity removed,1142202,0,,0.0,,Rochdale
CC_case_1137370_20240125,Charity Inquiry: The Kingdom Church GB,Charity Commission Inquiry into The Kingdom Church GB – formerly a registered charity.,https://www.gov.uk/government/publications/charity-inquiry-the-kingdom-church-gb,2024-01-25,2024-01-25,CC,governance,case,1137370,The Kingdom Church GB,,,,concluded,charity removed,governance,,,,church|governance|charity removed|kingdom,1137370,0,,324239.0,,Scotland
G_2150684347,Updated SORP Consultation (Effective Jan 2026),Official guidance regarding updated sorp consultation (effective jan 2026).,https://www.gov.uk/government/news/updated-sorp-charities-encouraged-to-respond-to-consultation-and-be-ready-for-change,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_2649602961,Charities SORP (Accounting and Reporting by Charities),Official guidance regarding charities sorp (accounting and reporting by charities).,https://www.gov.uk/government/publications/accounting-and-reporting-by-charities-sorp,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_1786726796,Charity reporting and accounting: the essentials (CC15d),Official guidance regarding charity reporting and accounting: the essentials (cc15d).,https://www.gov.uk/government/publications/charity-reporting-and-accounting-the-essentials-november-2016-cc15d,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_3260829518,"Charity accounts, financial reporting and tax (Collection)","Official guidance regarding charity accounts, financial reporting and tax (collection).",https://www.gov.uk/government/collections/charity-accounts-financial-reporting-and-tax,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_1582214942,Managing charity finances,Official guidance regarding managing charity finances.,https://www.gov.uk/guidance/managing-charity-finances,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_380632003,Internal financial controls for charities (CC8),Official guidance regarding internal financial controls for charities (cc8).,https://www.gov.uk/government/publications/internal-financial-controls-for-charities-cc8,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_3510683801,Charity reserves: building resilience (CC19),Official guidance regarding charity reserves: building resilience (cc19).,https://www.gov.uk/government/publications/charities-and-reserves-cc19,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_3470517745,Managing financial difficulties and insolvency (CC12),Official guidance regarding managing financial difficulties and insolvency (cc12).,https://www.gov.uk/government/publications/managing-financial-difficulties-insolvency-in-charities-cc12,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_805847016,Trustee Finance Toolkit (Campaign Site),Official guidance regarding trustee finance toolkit (campaign site).,https://beingacharitytrustee.campaign.gov.uk/trustee-finance-toolkit/,,,CC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
G_4227635632,The essential trustee: what you need to know (CC3),Official guidance regarding the essential trustee: what you need to know (cc3).,https://www.gov.uk/government/publications/the-essential-trustee-what-you-need-to-know-cc3,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_1595381757,Decision-making for charity trustees (CC27),Official guidance regarding decision-making for charity trustees (cc27).,https://www.gov.uk/government/publications/its-your-decision-charity-trustees-and-decision-making,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_4151237629,Managing conflicts of interest in a charity,Official guidance regarding managing conflicts of interest in a charity.,https://www.gov.uk/guidance/managing-conflicts-of-interest-in-a-charity,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_3194957214,Charity purposes and rules,Official guidance regarding charity purposes and rules.,https://www.gov.uk/guidance/charity-purposes-and-rules,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_2731652659,Public benefit: running a charity (PB2),Official guidance regarding public benefit: running a charity (pb2).,https://www.gov.uk/government/publications/public-benefit-running-a-charity-pb2,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_1371243576,Finding and appointing new trustees (CC30),Official guidance regarding finding and appointing new trustees (cc30).,https://www.gov.uk/government/publications/finding-new-trustees-cc30,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_422351184,Collaborative working and mergers (CC34),Official guidance regarding collaborative working and mergers (cc34).,https://www.gov.uk/government/publications/collaborative-working-and-mergers-an-introduction-cc34,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_1631792425,Charity meetings: making decisions and voting (CC48),Official guidance regarding charity meetings: making decisions and voting (cc48).,https://www.gov.uk/government/publications/charities-and-meetings-cc48,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_3640944718,Charities and risk management (CC26),Official guidance regarding charities and risk management (cc26).,https://www.gov.uk/government/publications/charities-and-risk-management-cc26,,,CC,risk_management,guidance,,,,,,,,,,,,,,,,,,
G_4014477874,Investing charity money: guidance for trustees (CC14),Official guidance regarding investing charity money: guidance for trustees (cc14).,https://www.gov.uk/government/publications/charities-and-investment-matters-a-guide-for-trustees-cc14,,,CC,risk_management,guidance,,,,,,,,,,,,,,,,,,
G_2944789247,Trustees trading and tax (CC35),Official guidance regarding trustees trading and tax (cc35).,https://www.gov.uk/government/publications/trustees-trading-and-tax-how-charities-may-lawfully-trade-cc35,,,CC,risk_management,guidance,,,,,,,,,,,,,,,,,,
G_1569478415,Protect your charity from fraud,Official guidance regarding protect your charity from fraud.,https://www.gov.uk/guidance/protect-your-charity-from-fraud,,,CC,anti_fraud,guidance,,,,,,,,,,,,,,,,,,
G_1498161646,Protect your charity from cyber crime,Official guidance regarding protect your charity from cyber crime.,https://www.gov.uk/guidance/protect-your-charity-from-cyber-crime,,,CC,risk_management,guidance,,,,,,,,,,,,,,,,,,
G_914324461,How charities can respond to the current hostile environment,Official guidance regarding how charities can respond to the current hostile environment.,https://www.gov.uk/guidance/how-charities-can-respond-to-the-current-hostile-environment,,,CC,risk_management,guidance,,,,,,,,,,,,,,,,,,
G_2475965515,Safeguarding for charities and trustees,Official guidance regarding safeguarding for charities and trustees.,https://www.gov.uk/guidance/safeguarding-for-charities-and-trustees,,,CC,safeguarding,guidance,,,,,,,,,,,,,,,,,,
G_844055771,Safeguarding duties for charity trustees,Official guidance regarding safeguarding duties for charity trustees.,https://www.gov.uk/guidance/safeguarding-duties-for-charity-trustees,,,CC,safeguarding,guidance,,,,,,,,,,,,,,,,,,
G_2325986626,How to manage your charity’s volunteers,Official guidance regarding how to manage your charity’s volunteers.,https://www.gov.uk/guidance/how-to-manage-your-charitys-volunteers,,,CC,safeguarding,guidance,,,,,,,,,,,,,,,,,,
G_43222868,Volunteering and health and safety (NCVO),Official guidance regarding volunteering and health and safety (ncvo).,https://www.ncvo.org.uk/help-and-guidance/involving-volunteers/volunteers-and-the-law/volunteering-and-health-and-safety/,,,CC,health_safety,guidance,,,,,,,,,,,,,,,,,,
G_2462015478,How to report a serious incident in your charity,Official guidance regarding how to report a serious incident in your charity.,https://www.gov.uk/guidance/how-to-report-a-serious-incident-in-your-charity,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_420295303,Campaigning and political activity guidance for charities (CC9),Official guidance regarding campaigning and political activity guidance for charities (cc9).,https://www.gov.uk/government/publications/speaking-out-guidance-on-campaigning-and-political-activity-by-charities-cc9,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_35156313,Charity fundraising: a guide to trustee duties (CC20),Official guidance regarding charity fundraising: a guide to trustee duties (cc20).,https://www.gov.uk/government/publications/charities-and-fundraising-cc20,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_3912198200,Grant funding an organisation that isn’t a charity,Official guidance regarding grant funding an organisation that isn’t a charity.,https://www.gov.uk/guidance/grant-funding-an-organisation-that-isnt-a-charity,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_3719874784,Charities and social media,Official guidance regarding charities and social media.,https://www.gov.uk/government/publications/charities-and-social-media,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_2675546598,Charities and Artificial Intelligence (Official Guidance),Official guidance regarding charities and artificial intelligence (official guidance).,https://charitycommission.blog.gov.uk/2024/04/02/charities-and-artificial-intelligence/,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
G_1380439031,ICO Data protection fee self-assessment,Official guidance regarding ico data protection fee self-assessment.,https://ico.org.uk/for-organisations/data-protection-fee/data-protection-fee-self-assessment/,,,ICO,gdpr,guidance,,,,,,,,,,,,,,,,,,
G_1053107457,ICO Advice for small organisations (SME Hub),Official guidance regarding ico advice for small organisations (sme hub).,https://ico.org.uk/for-organisations/advice-for-small-organisations/,,,ICO,gdpr,guidance,,,,,,,,,,,,,,,,,,
G_3338816938,Protecting charities from harm: compliance toolkit (Collection),Official guidance regarding protecting charities from harm: compliance toolkit (collection).,https://www.gov.uk/government/collections/protecting-charities-from-harm-compliance-toolkit,,,CC,sanctions,guidance,,,,,,,,,,,,,,,,,,
G_996604726,Compliance toolkit Chapter 1: Charities and terrorism,Official guidance regarding compliance toolkit chapter 1: charities and terrorism.,https://www.gov.uk/government/publications/charities-and-terrorism,,,CC,sanctions,guidance,,,,,,,,,,,,,,,,,,
G_4169581112,Compliance toolkit Chapter 2: Due diligence and monitoring,Official guidance regarding compliance toolkit chapter 2: due diligence and monitoring.,https://www.gov.uk/government/publications/charities-and-terrorism/compliance-toolkit-chapter-2-due-diligence-and-monitoring-end-use-of-funds,,,CC,sanctions,guidance,,,,,,,,,,,,,,,,,,
G_4212517782,Compliance toolkit Chapter 3: Fraud and financial crime (PDF),Official guidance regarding compliance toolkit chapter 3: fraud and financial crime (pdf).,https://assets.publishing.service.gov.uk/media/5a82a224e5274a2e87dc2305/Chapter3.pdf,,,CC,anti_fraud,guidance,,,,,,,,,,,,,,,,,,
G_2626182199,Compliance toolkit Chapter 4: Holding and moving funds,Official guidance regarding compliance toolkit chapter 4: holding and moving funds.,https://www.gov.uk/government/publications/charities-holding-moving-and-receiving-funds-safely,,,CC,sanctions,guidance,,,,,,,,,,,,,,,,,,
G_1648675245,Compliance toolkit Chapter 5: Extremism,Official guidance regarding compliance toolkit chapter 5: extremism.,https://www.gov.uk/government/publications/protecting-charities-from-abuse-for-extremist-purposes,,,CC,sanctions,guidance,,,,,,,,,,,,,,,,,,
G_1418206714,Environmental responsibility for charities,Official guidance regarding environmental responsibility for charities.,https://www.gov.uk/guidance/environmental-responsibility-for-charities,,,CC,governance,guidance,,,,,,,,,,,,,,,,,,
R_3123601452,OSCR Inquiry Reports (Section 33 Reports),Official case from OSCR regarding oscr inquiry reports (section 33 reports).,https://www.oscr.org.uk/about-charities/oscrs-work-in-action/reports/,,,OSCR,governance,case,,,,,,,,,,,,,,,,,,
R_3048906898,CCNI Statutory Inquiry Reports,Official case from CCNI regarding ccni statutory inquiry reports.,https://www.charitycommissionni.org.uk/concerns-and-decisions/statutory-inquiry-reports/,,,CCNI,governance,case,,,,,,,,,,,,,,,,,,
R_3000734480,Fundraising Regulator Investigation Summaries,Official case from FR regarding fundraising regulator investigation summaries.,https://www.fundraisingregulator.org.uk/service/complaints-and-investigations,,,FR,governance,case,,,,,,,,,,,,,,,,,,
R_3211159184,Code of Fundraising Practice,Official guidance from FR regarding code of fundraising practice.,https://www.fundraisingregulator.org.uk/code,,,FR,governance,guidance,,,,,,,,,,,,,,,,,,
R_4169588144,ICO Enforcement Action (Fines & Penalties),Official case from ICO regarding ico enforcement action (fines & penalties).,https://ico.org.uk/action-weve-taken/,,,ICO,gdpr,case,,,,,,,,,,,,,,,,,,
R_1192658285,ASA Charity-Linked Promotions Guidance,Official guidance from ASA regarding asa charity-linked promotions guidance.,https://www.asa.org.uk/advice-online/promotional-marketing-charity-linked-promotions.html,,,ASA,governance,guidance,,,,,,,,,,,,,,,,,,
R_350886618,HMRC Detailed Tax Guidance for Charities,Official guidance from HMRC regarding hmrc detailed tax guidance for charities.,https://www.gov.uk/government/publications/charities-detailed-guidance-notes,,,HMRC,financial_reporting,guidance,,,,,,,,,,,,,,,,,,
